incident_num,MMSI,vessel_name,vessel_class_from_ais,source,reference_key,report_based_incident_description,report_start_date_of_interest_hst,report_end_date_of_interest_hst,report_incident_time_of_interest_hst,report_vessel_role,report_vessel_class,report_location,ais_incident_start_bound_hst,ais_incident_end_bound_hst,ais_incident_type,ais_incident_evidence,ais_availability_description
8,366576000,R J PFEIFFER,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.05,"Vessel inbound with tug assist and under pilot control, when vessel's main engine failed to start when given the command of slow astern. The main gas oil salt water chiller pump had been overloaded to a partially closed discharge valve. The discharge valve was opened completely, the system went back to normal, and then regained full propulsion and moored safely.",2017-03-05,,2017-03-05 16:16:00-10:00,"Equipment failure, Loss of propulsion",Ro-ro Cargo ship,"Inbound to Honolulu Harbor, abeam of Day marker #7",2017-03-05 12:00:00-10:00,2017-03-05 17:58:25-10:00,Loss/reduction of propulsion,Good evidence,"The loss of propulsion event does seem to be evident in the SOG profile. Note that the time of the event (marked by the black dotted line) is approximate from the report, but the loss of propulsion and then regain of control at about that time seems to be evident. The timing of the event coincides with a less regular cluster of AIS points prior to mooring as well. "
9,367309860,NAMAHOE,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.09,"While starting the main engines, there were visible oil sheens. Note this happened while moored, but could indicate trajectory issues in the most recent trajectory (which appears to be 3/7/2017)",2017-03-09,,,"Material failure, Discharge of oil",Towing Vessel,Barbers Point Harbor Pier 6,2017-03-07 00:00:35-10:00,2017-03-09 23:59:57-10:00,"Pollution, Material failure",No obvious evidence,"The incident where a large oil sheen emerged when the engines were turned on happened while moored. From the spatial plot, it appears that the NAMAHOE was moored on 3/9/2017 as well as the day prior, 3/8/2017. Thus the trajectory prior to the engine issue occurred 3/7/2017, and may be worth investigating for potential clues that the incident would occur. "
10,367711550,LADY MOCHA II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.16.1,"On 3/16/2017, the LADY MOCHA II's (a 57 foot 62 gross ton vessel) vessel operator noticed there was water in the fuel filter affecting performance while underway. He shut down the engine, bled the water, but could not get the engine to restart. He communicated with sister vessel LADY MOCHA I, which arrived on 3/20/2017 with a new starter and batteries. ",2017-03-16,2017-03-20,,"Starter failure, Loss of propulsion",Commercial fishing vessel,,2017-03-16 16:19:54-10:00,2017-03-22 03:33:23-10:00,Loss/reduction of propulsion,Good evidence,"The AIS data for this incident is interesting, because there are important gaps. For the Lady Mocha II, there only a few points on the day of the incident, some points the day before the Lady Mocha I arrived, and then the trajectory for the vessel's safe return after batteries arrived. We see that the Lady Mocha I was in harbor--we see the trajectory leaving to bring the Lady Mocha II batteries. The AIS indicates the LADY MOCHA I's return trip on 3/22, a day after the LADY MOCHA II arrived back in Honolulu, possibly indicating that the LADY MOCHA I fished in the fishing grounds after delivering the battery to the LADY MOCHA II. It is unclear whether the return is abnormal or not, so only the LADY MOCHA I's anomalous trajectory to travel to the LADY MOCHA II is labelled. We also label the drifting points and immediate return of the LADY MOCHA II. "
11,367579350,OCEAN PATHFINDER,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.18,"While towing the barge Ho'oamaka Hou the OCEAN PATHFINDER's starboard main engine was shut down due to a water leak, tug assist got it back to the port later in the day.",2017-03-18,,,"Engine failure, Reduction of propulsion",,Inbound to Honolulu Harbor,2017-03-18 06:00:10-10:00,2017-03-18 15:58:58-10:00,Loss/reduction of propulsion,Good evidence,"As described in the IIR, there was a clear reduction of propulsion inbound Honolulu Harbor (note only the starboard engine shut down, which is why this is merely a reduction of propulsion not loss of propulsion event). This is especially evident in the speed profile."
10,367590390,LADY MOCHA I,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.16.1,Delivered the new starter and batteries to the LADY MOCHA II,2017-03-20,,,Helper vessel,Commercial fishing vessel,,2017-03-19 13:01:18-10:00,2017-03-20 09:36:44-10:00,Route deviation,Good evidence,"The AIS data for this incident is interesting, because there are important gaps. For the Lady Mocha II, there only a few points on the day of the incident, some points the day before the Lady Mocha I arrived, and then the trajectory for the vessel's safe return after batteries arrived. We see that the Lady Mocha I was in harbor--we see the trajectory leaving to bring the Lady Mocha II batteries. The AIS indicates the LADY MOCHA I's return trip on 3/22, a day after the LADY MOCHA II arrived back in Honolulu, possibly indicating that the LADY MOCHA I fished in the fishing grounds after delivering the battery to the LADY MOCHA II. It is unclear whether the return is abnormal or not, so only the LADY MOCHA I's anomalous trajectory to travel to the LADY MOCHA II is labelled. We also label the drifting points and immediate return of the LADY MOCHA II. "
12,367133450,MOANA HOLO,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.22,"Engine would not clutch in with the engine control due to air system failure. Regained control after 35 minutes, but called in at 7:10 and stopped towing to troubleshoot. ",2017-03-22,,2017-03-22 06:25:00-10:00,"Material failure, Reduction of propulsion",Towing Vessel,,2017-03-22 00:00:47-10:00,2017-03-22 15:59:36-10:00,Loss/reduction of propulsion,High evidence,"We can see from the SOG profile that at the time indicated in the IIR report (in the dotted line below) there was indeed a significant reduction of propulsion. They regained control within 35 minutes, and began troubleshooting at 7:10. "
13,366909880,CAROLEIGH,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.16.2,"Note that the report calls the helper vessel the 'CFV LL CONELEIGH' which is a vessel name that never appears in Hawaii waters from 2017-2020. The CAROLEIGH does, and is aligned in a tow trajectory with the KATY MARY",2017-03-19,2017-03-25,,Helper vessel,Commercial fishing vessel,,2017-03-24 03:31:05-10:00,2017-03-25 13:57:56-10:00,Irregular tow,High evidence,"The event occurred outside of the coastal bounding box, but the anomalous tow is available. The helper vessel CAROLEIGH is available from 3/24 to 3/25, and the KATY MARY is available at the end of the tow on 3/25. Note that the IIR calls the helper vessel the 'CONELEIGH': it is easy to see this is a typo by visually examining the AIS data for the CAROLEIGH. "
13,367150430,KATY MARY,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.03.16.2,"On 3/16/2017, the shaft coupling broke during the KATY MARY's eight haul set. The vessel was adrift without propulsion until 3/19, when the CAROLEIGH arrived and commend tow back to Honolulu, where a commercial tow brought the KATY MARY into harbor. ",2017-03-16,2017-03-25,,"Broken shaft, Loss of propulsion",Commercial fishing vessel,,2017-03-25 07:55:23-10:00,2017-03-25 13:57:37-10:00,Irregular tow,High evidence,"The event occurred outside of the coastal bounding box, but the anomalous tow is available. The helper vessel CAROLEIGH is available from 3/24 to 3/25, and the KATY MARY is available at the end of the tow on 3/25. Note that the IIR calls the helper vessel the 'CONELEIGH': it is easy to see this is a typo by visually examining the AIS data for the CAROLEIGH. "
14,367884000,SIOUX,"Public Vessel, Unclassified",USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.04.17,"The SIOUX (a 1,522 gross ton USNS vessel) experienced an automatic shutdown of the port engine due to a high cooling water temperature, leading to a reduction of propulsion. While using the starboard engine to return to port and mooring up to Berth Alpha-7, the bow thrusters also failed.",2017-04-17,,2017-04-17 07:10:00-10:00,"Material failure, Loss of propulsion",Tow vessel,Outbound Pearl Harbor,2017-04-17 04:48:08-10:00,2017-04-17 08:40:30-10:00,Loss/reduction of propulsion,High evidence,A reduction of propulsion is evident in the SOG profile at the reported time. 
15,310465000,SEA PRINCESS,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.05.01,Loss of power of the vessel while at anchor in Lahaina. The sources claim in causes a loss of propulsion and within 45 seconds emergency power had restored power to the vessel. The port main switchboard voltage measuring circuit breaker was tripped.,2017-05-01,,,Loss of propulsion,,"Lahaina, Maui",2017-05-01 05:00:14-10:00,2017-05-01 21:59:29-10:00,Loss/reduction of propulsion,No obvious evidence,"We can see from the animation that the SEA PRINCESS arrived in Laihaina Harbor in the mid-morning and left in the evening. The loss of propulsion/power event is not visibly obvious from the animation or the SOG profile, though the patterns while at anchor are of interest. Since the event occurred while at anchor, the loss of propulsion may seem relatively slight. It is worth investigating whether there is a feature in the data that indicates the event or not."
16,367059880,MARCUS G LANGSETH,Research Vessel,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.05.06,"The MARCUS G LANGSETH's (a 3,834 gross ton research vessel) port and starboard propulsion engines overheated resulting in the shutdown of the port main engine and loss of control-pitch propeller on the starboard engine. This lead to a loss of power. The vessel identified the secured water valves and regained cooling, power, and propulsion. ",2017-05-06,,2017-05-06 15:00:00-10:00,Loss of propulsion,Research vessel,Inbound Honolulu Harbor,2017-05-06 09:00:04-10:00,2017-05-06 14:57:22-10:00,Loss/reduction of propulsion,Good evidence,"The AIS does not exactly match the IIR report for this incident, which claims that the incident occurred at 15:00 HST inbound Honolulu Harbor. The vessel arrived at Honolulu Harbor at about 13:50, with stationary points there the rest of the day. The vessel was at the mouth of honolulu harbor at about 13:00 HST. A large reduction of propulsion was evident at around 11:20 HST, with two other dips closer to 13:00 HST. Hence the incident may indeed be evident in the data, provided the report estimated the approximate time later than it should have."
17,367699410,CAPT K,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.05.25,"On May 23 the vessel lost propulsion after its main drive shafts failed. The trajectory for this is out of range, but the trajectory for the boat being towed on the 25th and 26th is available",2017-05-25,2017-05-26,,"Broken shaft, Loss of propulsion",Commercial fishing vessel,,2017-05-25 08:55:28-10:00,2017-05-26 10:59:37-10:00,Irregular tow,High evidence,"The CAPT K was out of range of our dataset on the day of the incident, but 5/25 and 5/26 show the Lady Christine I towing the CAPT K. This tow is irregular. "
17,367361970,LADY CHRISTINE I,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.05.25,The LADY CHRISTINE I responded to the distressed CAPT K and towed it back to honolulu harbor. 5/26/17 should capture the Lady Christine transferring the fellow vessel to a commercial tow.,2017-05-25,2017-05-26,,Helper vessel,Commercial fishing vessel,,2017-05-25 09:05:13-10:00,2017-05-26 10:59:39-10:00,Irregular tow,High evidence,"The CAPT K was out of range of our dataset on the day of the incident, but 5/25 and 5/26 show the Lady Christine I towing the CAPT K. This tow is irregular. "
18,367060190,"PI""ILANI",Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.06.26,Completed the barge shift on behalf of the MAMO after the MAMO's clutch malfunctioned. ,2017-06-26,,,Helper vessel,Tug,Honolulu Harbor,2017-06-26 15:00:25-10:00,2017-06-26 20:59:06-10:00,Helper tow,High evidence,The Pi'ilani coming and completing the MAMO's barge shift seems to be evident from the spatial vessel behavior.
18,367151240,MAMO,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.06.26,"While the MAMO was shifting a freight barge from pier 40 to pier 39 in Honolulu Harbor, the starboard z-drive unit wouldn't clutch in and the port would not clutch out. The MAMO transited to pier 21 to investigate. The PI'ILANI was notified and completed the barge shift. ",2017-06-26,,,"Material failure, Loss of maneauverability",Tug,Honolulu Harbor,2017-06-26 15:00:27-10:00,2017-06-26 20:59:03-10:00,Loss of steering/maneuverability,High evidence,The Pi'ilani coming and completing the MAMO's barge shift seems to be evident from the spatial vessel behavior.
19,367711550,LADY MOCHA II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.13,"On July 13, 2017 at about 14:10, the LADY MOCHA I (not in the AIS data for that day) suffered an oil cooler pump failure and subsequent loss of propulsion. The LADY MOCHA II delivered a replacement oil pump to the LADY MOCHA I (who was able to repair their vessel and return to Honolulu Harbor under their own power). ",2017-07-13,,,Helper vessel,Commercial fishing vessel,100 nm north of the main Hawaiian islands,2017-07-12 07:11:59-10:00,2017-07-14 19:57:46-10:00,Route deviation,Good evidence,"There are some evident gaps in the AIS reporting, but we can see what looks like heading out to sea for a rendezvous on the 13th, as described in the report, followed by a swift return to port on the 14th. Note that the LADY MOCHA I doesn't appear in the AIS data on the day of the incident."
20,367015060,HOKU-KE'A,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.12.1,"A faulty gasket blew out, was repaired, and within 20 minutes the vessel regained propulsion control air.",2017-07-12,,2017-07-12 15:55:00-10:00,"Material failure, Loss of propulsion",,Between Lanai and Molokai Hawaii,2017-07-12 14:02:59-10:00,2017-07-12 19:59:23-10:00,Loss/reduction of propulsion,Good evidence,"There does appear to be a propulsion reduction event in the SOG at the time listed, unclear whether total loss of propulsion is truly reflected, but the incident time is clearly in the data. "
21,366799000,HORIZON PACIFIC,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.12.2,"While underway conducting a pre-arrival test, the vessel lost throttle controls (the throttle became sluggish). One of the bushings to the hinge pin on the ahead bar lift had loosened and fallen out. The crew re-established ahead propulsion, pre-arrival tests were performed, and the vessel arrived in Honolulu Harbor",2017-07-12,,,"Material failure, Loss of propulsion",Motor vessel,Outside of Honolulu Harbor,2017-07-12 17:00:01-10:00,2017-07-12 22:59:37-10:00,Loss/reduction of propulsion,Good evidence,"The exact incident time wasn't given in the report, but we do see a slowdown prior to arriving in Honolulu harbor which could correspond to the incident described."
22,367755410,LADY ALICE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.08,The LADY ALICE towed the LADY J3 to Honolulu after the loss of propulsion event. ,,2017-07-13,,Helper vessel,Commercial fishing vessel,,2017-07-13 06:01:52-10:00,2017-07-13 18:57:02-10:00,Irregular tow,High evidence,"The actual event is out of range of the coastal bounding box, but the irregular tow is available starting with the LADY ALICE, with the LADY J3 trajectory available for the last leg of the tow. Note that there is an irregular pattern outside of the harbor, likely from transferring the LADY J3 to harbor tow vessels for safe mooring. "
22,367492480,LADY  J3,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.08,"While underway conducting commercial fishing operations, the LADY J3's  operator found the inner shaft had sheared off, leading to a loss of propulsion. The operator arranged for sister vessel LADY ALICE to tow the LADY J3 back to Honolulu Harbor",2017-07-08,2017-07-13,2017-07-08 05:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,620 nm NE of Honolulu Harbor,2017-07-13 11:44:05-10:00,2017-07-13 18:44:30-10:00,Irregular tow,High evidence,"The actual event is out of range of the coastal bounding box, but the irregular tow is available starting with the LADY ALICE, with the LADY J3 trajectory available for the last leg of the tow. Note that there is an irregular pattern outside of the harbor, likely from transferring the LADY J3 to harbor tow vessels for safe mooring. "
23,367639430,AZURE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.17,"The AZURE's after cooler for the main engine was leaking water and became unable to cool the main engine. This caused the main engine to overheat and become inoperable. This left the vessel dead and adrift with no means of propulsion. It was towed back by the 3 Brothers and arrived safely back at Honolulu Harbor on July 17th. Note that the data is not available on the day of the event, but is for the tow on the 17th.",2017-07-15,2017-07-17,2017-07-15 07:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,,2017-07-16 22:45:44-10:00,2017-07-17 23:57:05-10:00,Irregular tow,High evidence,"The vessel's AIS is available on the 14th but no AIS is available on the 15th, the day of the incident, or most of the 16th. The latter half of the tow to the harbor is available on the 17th. "
23,367756070,3 BROTHERS,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.07.17,"This was the CFV that towed the AZURE back. Note that there is only data on 7/17/2017, the final day of the tow",2017-07-17,,,Helper vessel,Commercial fishing vessel,,2017-07-17 03:31:05-10:00,2017-07-17 04:12:38-10:00,Irregular tow,High evidence,"Only a small trajectory segment for the 3 brothers is available at the appropriate time, but it does perfectly align with the Azure as if towing it. "
24,338183059,ADVENTURESS,Pleasure Craft/Sailing,USCG National Response Center,CGNRC2017,NRC Notes: Potential Pollution. The RP is reporting a recreational vessel that ran hard aground. RP stated that the operator was following the boat's electronic navigation and read the system wrong which lead to the boat running aground. No reported injuries. There was a 01 POB and the USCG resources are currently working to assist the POB.,2017-08-03,,2017-08-03 18:55:00-10:00,"Grounding, Operator Error",Pleasure Craft,"Kaneohe Bay, 21.26.45 N, 157.48.8 W",2017-08-03 11:53:30-10:00,2017-08-03 19:58:26-10:00,Grounding,No obvious evidence,"The grounding is not obvious at the incident time listed in the NRC report. If the incident happened before the report was made, however, there is a cluster of stationary points at Kane'ohe Bay that could indicate the grounding referred to. "
25,367045610,PRINCESS JASMINE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.08.04,"The PRINCESS JASMINE's engine stalled and the vessel lost propulsion due to an unknown reason (likely fuel oil contamination). The owner contacted the PARADISE 2001 to tow the PRINCESS JASMINE back to Honolulu. Note that the report states that the vessel made permanent repairs on August 10th and the COTP order was lifted from the PRINCESS JASMINE on 8/17/2017. However, it also says that the PRINCESS JASMINE safely arrived in honolulu on 8/17--thus the dates conflict. The AIS reveals that the PRINCESS JASMINE and the PARADISE 2001 arrived in honolulu harbor on 8/10/2017.",2017-08-04,2017-08-17,,"Material failure, Loss of propulsion",Commercial fishing vessel,345 nm SE of Honolulu,2017-08-08 11:37:24-10:00,2017-08-10 07:59:06-10:00,Irregular tow,High evidence,"The event occurred outside of the coastal bounding box, but the irregular tow is available from 8/8/2017 to 8/10/2017. Note that the tow trajectory separated for several hours south of Portlock, then reconvened. It is unclear what happened at this point, it may have something to do with the repairs indicated in the report taking place 8/10. "
25,367439590,PARADISE 2001,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.08.04,The PARADISE 2001 was 200 nm away from the PRINCESS JASMINE when it was arranged to go to the PRINCESS JASMINE and tow it back to port. ,2017-08-04,2017-08-17,,Helper vessel,Commercial fishing vessel,200 nm away from the PRINCESS JASMINE,2017-08-08 12:17:42-10:00,2017-08-10 07:58:32-10:00,Irregular tow,High evidence,"The event occurred outside of the coastal bounding box, but the irregular tow is available from 8/8/2017 to 8/10/2017. Note that the tow trajectory separated for several hours south of Portlock, then reconvened. It is unclear what happened at this point, it may have something to do with the repairs indicated in the report taking place 8/10. "
26,367738010,SANCHO 1.2,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.08.06,"On August 6, the SANCHO 1.2 was disabled and adrift 500 nm from Hawaii due to a failed fuel pump. The owner arranged a tow, and the SANCHO 1.2 moored safely in Honolulu Harbor on August 12. ",2017-08-06,2017-08-12,,"Material failure, Loss of propulsion",Commercial fishing vessel,500 nm from Hawaii,2017-08-11 21:43:34-10:00,2017-08-12 22:58:30-10:00,Irregular tow,Good evidence,"The SANCHO 1.2 was out of range on the day of the incident, but is available 8/11 and 8/12 when it was being towed back (According to the report). The report does not indicate the vessel that towed the SANCHO 1.2 back, and after visual inspection, the helper tow does not appear to be in the AIS data. "
27,367133450,MOANA HOLO,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.08.10,The MOANA HOLO retrieved the stranded OCEAN CRESCENT and towed it to Honolulu,,2017-08-25,,Helper vessel,Tug tow,,2017-08-13 05:01:19-10:00,2017-08-25 23:59:37-10:00,Irregular tow,High evidence,"The AIS data includes the MOANA HOLO travelling from honolulu harbor out to sea (and out of range) on 8/13/2017, then returning with the irregular tow for the OCEAN CRESCENT from 8/23/2017 to 8/25/2017"
